"","Player","Round","Result","Opponent","sth","Standing","PlayerDeck","OpponentDeck","tournament"
"120110","rean2019","5","LOSS","edothebest94",NA,"3-3-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","pikaversepocketcup1"
"12021","rean2019","4","LOSS","AzeL",NA,"3-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"12032","rean2019","3","LOSS","Disdai",NA,"6-2-0","Mewtwo ex Gardevoir","Pikachu ex Electrode","pikaversepocketcup1"
"12042","rean2019","2","WIN","eu10eraa",NA,"1-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12052","rean2019","1","WIN","prayos",NA,"6-2-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"12062","Nicolas S","2","LOSS","Maka",NA,"8-2-0","Mewtwo ex Gardevoir","Pikachu ex Electrode","pikaversepocketcup1"
"12072","Nicolas S","1","WIN","s4mule",NA,"4-3-0drop","Mewtwo ex Gardevoir","Arcanine ex Moltres ex","pikaversepocketcup1"
"12082","tolengo73","1","LOSS","Thiheen",NA,"3-3-0drop","Articuno ex Weezing","Muk Weezing","pikaversepocketcup1"
"12092","markoh","2","LOSS","dede495",NA,"6-2-0","Marowak ex Golbat","Pikachu ex Zebstrika","pikaversepocketcup1"
"12109","markoh","1","LOSS","IHaeTypos",NA,"2-2-0drop","Marowak ex Golbat","Pikachu ex Zebstrika","pikaversepocketcup1"
"12122","meemz","7","WIN","HGgg",NA,"3-4-0drop","Articuno ex Starmie ex","Marowak ex Kabutops","pikaversepocketcup1"
"12132","meemz","6","LOSS","JohnSubbi",NA,"4-4-0","Articuno ex Starmie ex","Ninetales Rapidash","pikaversepocketcup1"
"12142","meemz","5","WIN","Mannie",NA,"2-3-0drop","Articuno ex Starmie ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12152","meemz","4","WIN","loverockman",NA,"5-3-0","Articuno ex Starmie ex","Blastoise ex Meowth","pikaversepocketcup1"
"12162","meemz","3","WIN","Zariweya",NA,"1-3-0drop","Articuno ex Starmie ex","Lapras ex Tentacruel","pikaversepocketcup1"
"12172","meemz","2","LOSS","sufferomen",NA,"4-3-0drop","Articuno ex Starmie ex","Starmie ex Golduck","pikaversepocketcup1"
"12182","meemz","1","LOSS","Mia Nilian",NA,"9-2-0","Articuno ex Starmie ex","Pikachu ex Electrode","pikaversepocketcup1"
"12192","costalucas","6","LOSS","Bolamon",NA,"7-2-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12202","costalucas","5","WIN","Mikers",NA,"5-3-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"122110","costalucas","4","WIN","Andreyws88",NA,"1-3-0drop","Mewtwo ex Gardevoir","Machamp ex Primeape","pikaversepocketcup1"
"12222","costalucas","3","WIN","erikitoh",NA,"5-3-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12232","costalucas","2","WIN","kaesus",NA,"0-3-0drop","Mewtwo ex Gardevoir","Starmie ex Greninja","pikaversepocketcup1"
"12242","costalucas","1","LOSS","Martinezn3114",NA,"1-0-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","pikaversepocketcup1"
"12252","Pinguim","2","LOSS","Alelu1234",NA,"1-5-0drop","Alakazam Weezing","Charizard ex Moltres ex","pikaversepocketcup1"
"12262","Pinguim","1","LOSS","erikitoh",NA,"5-3-0","Alakazam Weezing","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12272","Leoner","4","LOSS","Nidha",NA,"3-4-0drop","Pikachu ex Zebstrika","Alakazam Weezing","pikaversepocketcup1"
"12282","Leoner","3","WIN","yungi182",NA,"1-2-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12292","Leoner","2","LOSS","DarkasakuraV9",NA,"5-3-0","Pikachu ex Zebstrika","Pikachu ex Zebstrika","pikaversepocketcup1"
"12302","Leoner","1","WIN","Matuch",NA,"1-3-0drop","Pikachu ex Zebstrika","Charizard ex Moltres ex","pikaversepocketcup1"
"12319","EcoPaul","7","LOSS","NaraHazu",NA,"4-3-0drop","Articuno ex Starmie ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12322","EcoPaul","6","LOSS","Valrl",NA,"4-3-0drop","Articuno ex Starmie ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12332","EcoPaul","5","WIN","Caloley",NA,"2-5-0drop","Articuno ex Starmie ex","Charizard ex Centiskorch","pikaversepocketcup1"
"12342","EcoPaul","4","WIN","Kichi",NA,"2-3-0drop","Articuno ex Starmie ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12352","EcoPaul","3","WIN","XwiiT",NA,"0-3-0drop","Articuno ex Starmie ex","Exeggutor ex Alakazam","pikaversepocketcup1"
"12362","EcoPaul","2","LOSS","Drayke",NA,"2-3-0drop","Articuno ex Starmie ex","Pikachu ex Zebstrika","pikaversepocketcup1"
"12372","EcoPaul","1","LOSS","Alexandre",NA,"4-2-0drop","Articuno ex Starmie ex","Pikachu ex Zebstrika","pikaversepocketcup1"
"12382","tilti1","1","LOSS","Neide",NA,"1-2-0drop","Exeggutor ex Victreebel","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12392","3dRes","4","LOSS","Kingoliver",NA,"3-5-0drop","Wigglytuff ex Golbat","Nidoking Weezing","pikaversepocketcup1"
"12402","3dRes","3","WIN","Vinao",NA,"0-4-0drop","Wigglytuff ex Golbat","Blastoise ex Blastoise","pikaversepocketcup1"
"12419","3dRes","2","LOSS","XceL2op",NA,"3-5-0","Wigglytuff ex Golbat","Marowak ex Sandslash","pikaversepocketcup1"
"12422","3dRes","1","LOSS","MartimX10",NA,"3-4-0drop","Wigglytuff ex Golbat","Pikachu ex Zebstrika","pikaversepocketcup1"
"12432","XwiiT","3","LOSS","EcoPaul",NA,"3-4-0drop","Exeggutor ex Alakazam","Articuno ex Starmie ex","pikaversepocketcup1"
"12442","XwiiT","2","LOSS","Fitypaldis",NA,"2-2-0drop","Exeggutor ex Alakazam","Ninetales Rapidash","pikaversepocketcup1"
"12452","XwiiT","1","LOSS","Calixe",NA,"6-2-0","Exeggutor ex Alakazam","Pikachu ex Electrode","pikaversepocketcup1"
"12462","RazielRV","6","LOSS","shazq",NA,"6-2-0","Articuno ex Starmie ex","Articuno ex Starmie ex","pikaversepocketcup1"
"12472","RazielRV","5","WIN","WillianRusso",NA,"3-2-0drop","Articuno ex Starmie ex","Pikachu ex Zebstrika","pikaversepocketcup1"
"12482","RazielRV","4","WIN","Kanowki",NA,"2-5-0drop","Articuno ex Starmie ex","Pikachu ex Zebstrika","pikaversepocketcup1"
"12492","RazielRV","3","WIN","Pradkaiser",NA,"1-2-0drop","Articuno ex Starmie ex","Ninetales Rapidash","pikaversepocketcup1"
"12502","RazielRV","2","WIN","Chris762003",NA,"5-3-0drop","Articuno ex Starmie ex","Articuno ex Lapras ex","pikaversepocketcup1"
"12519","RazielRV","1","LOSS","TwitchTVOdinzadaTV",NA,"5-3-0","Articuno ex Starmie ex","Pikachu ex Raichu","pikaversepocketcup1"
"12522","babi","3","LOSS","SlavenTizic",NA,"1-2-0drop","Mewtwo ex Gardevoir","Kabutops Primeape","pikaversepocketcup1"
"12532","babi","2","LOSS","Taabouu",NA,"2-3-0drop","Mewtwo ex Gardevoir","Arbok Weezing","pikaversepocketcup1"
"12542","babi","1","LOSS","chrisotore2",NA,"1-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"12552","Issa","7","LOSS","Dyssant",NA,"4-4-0","Pikachu ex Electrode","Marowak ex Sandslash","pikaversepocketcup1"
"12562","Issa","6","LOSS","Glaceon",NA,"4-4-0drop","Pikachu ex Electrode","Articuno ex Starmie ex","pikaversepocketcup1"
"12572","Issa","5","LOSS","HGgg",NA,"3-4-0drop","Pikachu ex Electrode","Marowak ex Kabutops","pikaversepocketcup1"
"12582","Issa","4","LOSS","VampRook",NA,"6-2-0","Pikachu ex Electrode","Pikachu ex Zebstrika","pikaversepocketcup1"
"12592","Issa","3","WIN","Chiha_Rotsure",NA,"1-2-0drop","Pikachu ex Electrode","Heliolisk Kabutops","pikaversepocketcup1"
"12602","Issa","2","LOSS","RuthlessRedge",NA,"6-2-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","pikaversepocketcup1"
"126110","Issa","1","WIN","Vinao",NA,"0-4-0drop","Pikachu ex Electrode","Blastoise ex Blastoise","pikaversepocketcup1"
"12622","Fernando07","1","LOSS","nivde",NA,"8-2-0","Ninetales Rapidash","Pikachu ex Electrode","pikaversepocketcup1"
"12652","jesemil","5","LOSS","Snowpoints",NA,"5-3-0","Mewtwo ex Gardevoir","Charizard ex Moltres ex","pikaversepocketcup1"
"12662","jesemil","4","WIN","Tinleigh Collins",NA,"5-3-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"12672","jesemil","3","WIN","CasualConnr",NA,"1-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","pikaversepocketcup1"
"12682","jesemil","2","LOSS","Thiheen",NA,"3-3-0drop","Mewtwo ex Gardevoir","Muk Weezing","pikaversepocketcup1"
"12692","jesemil","1","WIN","sLieR",NA,"0-1-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12702","TheReaper_619","6","LOSS","Charmee",NA,"6-2-0","Charizard ex Moltres ex","Pikachu ex Electrode","pikaversepocketcup1"
"12719","TheReaper_619","5","WIN","Helzen",NA,"4-3-0drop","Charizard ex Moltres ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12722","TheReaper_619","4","LOSS","Zorgax",NA,"7-2-0","Charizard ex Moltres ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12732","TheReaper_619","3","WIN","deniprase11",NA,"2-2-0drop","Charizard ex Moltres ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12742","TheReaper_619","2","WIN","Nidha",NA,"3-4-0drop","Charizard ex Moltres ex","Alakazam Weezing","pikaversepocketcup1"
"12752","TheReaper_619","1","WIN","PeptoG",NA,"3-4-0drop","Charizard ex Moltres ex","Pikachu ex Zebstrika","pikaversepocketcup1"
"12762","Robyn","1","LOSS","KennyMcZooty",NA,"1-3-0drop","Machamp ex Marowak ex","Lapras ex","pikaversepocketcup1"
"12772","FrostBill","6","LOSS","crustpunx2442",NA,"3-4-0drop","Mewtwo ex Gardevoir","Gengar ex Hypno","pikaversepocketcup1"
"12782","FrostBill","5","LOSS","Chris762003",NA,"5-3-0drop","Mewtwo ex Gardevoir","Articuno ex Lapras ex","pikaversepocketcup1"
"12792","FrostBill","4","WIN","gat0",NA,"1-5-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"12802","FrostBill","3","LOSS","brandon141",NA,"3-4-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"128110","FrostBill","2","WIN","DarthTator22",NA,"0-2-0drop","Mewtwo ex Gardevoir","Exeggutor ex Jolteon","pikaversepocketcup1"
"12822","FrostBill","1","LOSS","EQkws",NA,"2-1-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12832","Fruzzene","3","LOSS","Nathan0407",NA,"4-4-0","Marowak ex Dugtrio","Exeggutor ex Venusaur ex","pikaversepocketcup1"
"12842","Fruzzene","2","LOSS","HGgg",NA,"3-4-0drop","Marowak ex Dugtrio","Marowak ex Kabutops","pikaversepocketcup1"
"12852","Fruzzene","1","LOSS","TheBest",NA,"4-3-0drop","Marowak ex Dugtrio","Exeggutor ex Venusaur ex","pikaversepocketcup1"
"12862","s4mule","7","LOSS","Mikers",NA,"5-3-0","Arcanine ex Moltres ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12872","s4mule","6","LOSS","TwitchTVOdinzadaTV",NA,"5-3-0","Arcanine ex Moltres ex","Pikachu ex Raichu","pikaversepocketcup1"
"12882","s4mule","5","WIN","brandon141",NA,"3-4-0drop","Arcanine ex Moltres ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12892","s4mule","4","WIN","DarKingBR",NA,"3-4-0drop","Arcanine ex Moltres ex","Arbok Weezing","pikaversepocketcup1"
"12902","s4mule","3","WIN","PingShiRo",NA,"1-2-0drop","Arcanine ex Moltres ex","Machamp ex Marowak ex","pikaversepocketcup1"
"129110","s4mule","2","WIN","Jimily",NA,"0-2-0drop","Arcanine ex Moltres ex","Dragonite Weezing","pikaversepocketcup1"
"12922","s4mule","1","LOSS","Nicolas S",NA,"1-1-0drop","Arcanine ex Moltres ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12932","Sushiboo22","1","LOSS","Raichuomega",NA,"1-1-0drop","Gengar ex Marowak ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"12962","Maverick6744","4","LOSS","XceL2op",NA,"3-5-0","Charizard ex Moltres ex","Marowak ex Sandslash","pikaversepocketcup1"
"12972","Maverick6744","3","LOSS","Snowpoints",NA,"5-3-0","Charizard ex Moltres ex","Charizard ex Moltres ex","pikaversepocketcup1"
"12982","Maverick6744","2","WIN","DiDi C",NA,"0-2-0drop","Charizard ex Moltres ex","Pikachu ex Zebstrika","pikaversepocketcup1"
"12992","Maverick6744","1","LOSS","hqrcqnq",NA,"4-2-0drop","Charizard ex Moltres ex","Pikachu ex Zapdos ex","pikaversepocketcup1"
"130110","DarKingBR","6","LOSS","skyychann",NA,"5-3-0","Arbok Weezing","Pikachu ex Zebstrika","pikaversepocketcup1"
"13022","DarKingBR","5","WIN","Chuggle729",NA,"2-3-0drop","Arbok Weezing","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13032","DarKingBR","4","LOSS","s4mule",NA,"4-3-0drop","Arbok Weezing","Arcanine ex Moltres ex","pikaversepocketcup1"
"13042","DarKingBR","3","LOSS","Mia Nilian",NA,"9-2-0","Arbok Weezing","Pikachu ex Electrode","pikaversepocketcup1"
"13052","DarKingBR","2","WIN","gat0",NA,"1-5-0drop","Arbok Weezing","Pikachu ex Zebstrika","pikaversepocketcup1"
"13062","DarKingBR","1","WIN","SungDae",NA,"0-2-0drop","Arbok Weezing","Pikachu ex Zebstrika","pikaversepocketcup1"
"13072","bankfastlive","2","LOSS","hqrcqnq",NA,"4-2-0drop","Marowak ex Primeape","Pikachu ex Zapdos ex","pikaversepocketcup1"
"13082","bankfastlive","1","WIN","dont_eat_me",NA,"1-2-0drop","Marowak ex Primeape","Charizard ex Moltres ex","pikaversepocketcup1"
"13092","Idrees","5","LOSS","erxuon",NA,"6-2-0","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13109","Idrees","4","WIN","Galick",NA,"2-5-0drop","Pikachu ex Zebstrika","Ninetales Rapidash","pikaversepocketcup1"
"131110","Idrees","3","WIN","calupeteca",NA,"0-3-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13142","Chrisotore8","3","LOSS","Lulu",NA,"4-4-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13152","Chrisotore8","2","LOSS","healer04z",NA,"7-2-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13162","Chrisotore8","1","WIN","Kjenium",NA,"6-2-0","Mewtwo ex Gardevoir","Pikachu ex Electrode","pikaversepocketcup1"
"13172","Jakeew","2","LOSS","Caloley",NA,"2-5-0drop","Lapras ex Starmie ex","Charizard ex Centiskorch","pikaversepocketcup1"
"13182","Jakeew","1","LOSS","Lillo",NA,"1-1-0drop","Lapras ex Starmie ex","Lilligant Venusaur","pikaversepocketcup1"
"13192","Sunho","6","LOSS","Bacura",NA,"6-2-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"13202","Sunho","5","WIN","Racsoh",NA,"2-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","pikaversepocketcup1"
"132110","Sunho","4","WIN","amko_ex",NA,"1-6-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"13222","Sunho","3","LOSS","DenimBlue7",NA,"2-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13232","Sunho","2","LOSS","Nirvax .",NA,"6-3-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","pikaversepocketcup1"
"13242","Sunho","1","WIN","Ytram56",NA,"0-2-0drop","Mewtwo ex Gardevoir","Dugtrio Primeape","pikaversepocketcup1"
"13272","Thunderdog","1","LOSS","Frecazero",NA,"2-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","pikaversepocketcup1"
"13282","Swaizi","6","LOSS","Ria",NA,"6-2-0","Ninetales Rapidash","Pikachu ex Zebstrika","pikaversepocketcup1"
"13292","Swaizi","5","WIN","QuebraNozes",NA,"3-4-0drop","Ninetales Rapidash","Ninetales Rapidash","pikaversepocketcup1"
"13302","Swaizi","4","LOSS","Nirvax .",NA,"6-3-0","Ninetales Rapidash","Pikachu ex Zapdos ex","pikaversepocketcup1"
"13319","Swaizi","3","WIN","Super_Peace",NA,"5-2-0drop","Ninetales Rapidash","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13322","Swaizi","2","WIN","Faliceon",NA,"4-3-0drop","Ninetales Rapidash","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13332","Swaizi","1","WIN","Kingoliver",NA,"3-5-0drop","Ninetales Rapidash","Nidoking Weezing","pikaversepocketcup1"
"13342","Ryan D","5","LOSS","Alfha",NA,"6-2-0","Mewtwo ex Gardevoir","Charizard ex Moltres ex","pikaversepocketcup1"
"13352","Ryan D","4","LOSS","Disdai",NA,"6-2-0","Mewtwo ex Gardevoir","Pikachu ex Electrode","pikaversepocketcup1"
"13361","Ryan D","3","WIN"," PangPang",NA,"6-2-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"13372","Ryan D","2","WIN","Chuggle729",NA,"2-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13382","Ryan D","1","WIN","SpartaPK",NA,"6-2-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13392","Ziron86","5","LOSS","JohnSubbi",NA,"4-4-0","Exeggutor ex Venusaur ex","Ninetales Rapidash","pikaversepocketcup1"
"13402","Ziron86","4","WIN","Zlatan_Br",NA,"1-5-0drop","Exeggutor ex Venusaur ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"134110","Ziron86","3","LOSS","Tinleigh Collins",NA,"5-3-0","Exeggutor ex Venusaur ex","Pikachu ex Zebstrika","pikaversepocketcup1"
"13422","Ziron86","2","LOSS","SpyderMonke",NA,"2-3-0drop","Exeggutor ex Venusaur ex","Charizard ex Moltres ex","pikaversepocketcup1"
"13432","Ziron86","1","WIN","H0uxx",NA,"1-2-0drop","Exeggutor ex Venusaur ex","Exeggutor ex Victreebel","pikaversepocketcup1"
"13442","DecaPod","7","LOSS","Ria",NA,"6-2-0","Pikachu ex Zapdos ex","Pikachu ex Zebstrika","pikaversepocketcup1"
"13452","DecaPod","6","WIN","Disdai",NA,"6-2-0","Pikachu ex Zapdos ex","Pikachu ex Electrode","pikaversepocketcup1"
"13462","DecaPod","5","WIN","titustan011",NA,"3-2-0drop","Pikachu ex Zapdos ex","Charizard ex Moltres ex","pikaversepocketcup1"
"13472","DecaPod","4","LOSS","kaimasamune",NA,"6-2-0","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13482","DecaPod","3","WIN","iplongno",NA,"3-2-0drop","Pikachu ex Zapdos ex","Pikachu ex Raichu","pikaversepocketcup1"
"13492","DecaPod","2","WIN","Binbay",NA,"3-2-0drop","Pikachu ex Zapdos ex","Ninetales Rapidash","pikaversepocketcup1"
"13502","DecaPod","1","WIN","Azzareel",NA,"0-2-0drop","Pikachu ex Zapdos ex","Marowak ex Sandslash","pikaversepocketcup1"
"135110","Hazelnut","6","LOSS","monkykap",NA,"6-2-0","Pikachu ex Zapdos ex","Pikachu ex Electrode","pikaversepocketcup1"
"13522","Hazelnut","5","LOSS","Warden06",NA,"5-3-0","Pikachu ex Zapdos ex","Pikachu ex Zebstrika","pikaversepocketcup1"
"13532","Hazelnut","4","WIN","rodrigoo",NA,"2-3-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13542","Hazelnut","3","LOSS","Jaeng__Gu",NA,"3-1-0drop","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","pikaversepocketcup1"
"13552","Hazelnut","2","WIN","Nook",NA,"3-3-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13562","Hazelnut","1","WIN","Krohnos",NA,"1-3-0drop","Pikachu ex Zapdos ex","Melmetal Weezing","pikaversepocketcup1"
"13572","mILANGAs","7","LOSS","LionHunter",NA,"6-2-0","Articuno ex","Pikachu ex Zebstrika","pikaversepocketcup1"
"13582","mILANGAs","6","LOSS","Abe",NA,"6-2-0","Articuno ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13592","mILANGAs","5","WIN","Wolf_0",NA,"7-2-0","Articuno ex","Pikachu ex Zapdos ex","pikaversepocketcup1"
"13602","mILANGAs","4","WIN","erxuon",NA,"6-2-0","Articuno ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13618","mILANGAs","3","WIN","razorix",NA,"5-3-0drop","Articuno ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13622","mILANGAs","2","LOSS","Tomlja",NA,"2-2-0drop","Articuno ex","Pikachu ex Zebstrika","pikaversepocketcup1"
"13632","mILANGAs","1","WIN","Giriboy",NA,"0-2-0drop","Articuno ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13642","cjxskull","2","LOSS","Trucob ",NA,"1-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"13652","cjxskull","1","LOSS","99johnsteven",NA,"5-3-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13662","GilangSurya","1","LOSS","Zandaro",NA,"3-3-0drop","Pikachu ex Zebstrika","Arbok Weezing","pikaversepocketcup1"
"13672","pampe","3","LOSS","rodrigoo",NA,"2-3-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13682","pampe","2","WIN","Sigphale",NA,"4-2-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13692","pampe","1","LOSS","gat0",NA,"1-5-0drop","Pikachu ex Electrode","Pikachu ex Zebstrika","pikaversepocketcup1"
"13722","SMIKKELBEER","4","LOSS","Valrl",NA,"4-3-0drop","Exeggutor ex Venusaur ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13732","SMIKKELBEER","3","LOSS","Kirusha",NA,"2-2-0drop","Exeggutor ex Venusaur ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13742","SMIKKELBEER","2","WIN","GTlv99",NA,"0-2-0drop","Exeggutor ex Venusaur ex","Marowak ex Primeape","pikaversepocketcup1"
"13751","SMIKKELBEER","1","LOSS","Zorgax",NA,"7-2-0","Exeggutor ex Venusaur ex","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13762","Feeling4","5","LOSS","I4RU",NA,"6-2-0","Mewtwo ex Gardevoir","Machamp ex Kangaskhan","pikaversepocketcup1"
"13772","Feeling4","4","WIN","koke_outon",NA,"5-3-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13782","Feeling4","3","WIN","Ursiidae",NA,"1-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"13792","Feeling4","2","LOSS","Eliw222",NA,"2-2-0drop","Mewtwo ex Gardevoir","Ninetales Rapidash","pikaversepocketcup1"
"13802","Feeling4","1","WIN","scottrhudy",NA,"0-1-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","pikaversepocketcup1"
"13821","Senfapfel98","6","LOSS","joooorgeh",NA,"4-4-0","Pikachu ex Electrode","Pikachu ex Zebstrika","pikaversepocketcup1"
"13832","Senfapfel98","5","WIN","Legend4fov",NA,"3-5-0","Pikachu ex Electrode","Pikachu ex Electrode","pikaversepocketcup1"
"13842","Senfapfel98","4","LOSS","Kelonidas",NA,"4-3-0drop","Pikachu ex Electrode","Pikachu ex Zebstrika","pikaversepocketcup1"
"13852","Senfapfel98","3","WIN","Nul",NA,"1-6-0drop","Pikachu ex Electrode","Pikachu ex Electrode","pikaversepocketcup1"
"13862","Senfapfel98","2","WIN","Yesik",NA,"0-2-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13872","Senfapfel98","1","LOSS","Lorio",NA,"2-2-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13882","Hanamon","8","LOSS","Gqqq",NA,"6-2-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13892","Hanamon","7","LOSS","I4RU",NA,"6-2-0","Mewtwo ex Gardevoir","Machamp ex Kangaskhan","pikaversepocketcup1"
"13902","Hanamon","6","WIN","Jano",NA,"4-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"13919","Hanamon","5","WIN","Lulu",NA,"4-4-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13922","Hanamon","4","LOSS","pxe778",NA,"6-2-0","Mewtwo ex Gardevoir","Pikachu ex Electrode","pikaversepocketcup1"
"13932","Hanamon","3","WIN","AzeL",NA,"3-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","pikaversepocketcup1"
"13942","Hanamon","2","WIN","Danilmendes",NA,"1-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","pikaversepocketcup1"
"13952","Hanamon","1","WIN","XceL2op",NA,"3-5-0","Mewtwo ex Gardevoir","Marowak ex Sandslash","pikaversepocketcup1"
